Date,ProductName,Quantity,UnitPrice,StoreLocation,PaymentType,PromotionApplied,Weather,Temperature,StaffPerformanceRating,CustomerFeedback,DeliveryTime_min,OrderType,CustomerName,CustomerAddress,Customer_PhoneNumber,CustomerEmail,Staff_Name,Staff_Email,DayOfWeek,TotalSales
2023-01-01 00:00:00,Vanilla Cake,2,12.53230415,South,Cash,TRUE,Rainy,20.65491393,Poor,Neutral,30,In Store,William Adams,"9851 David Green
Tonyaburgh, VA 02853",(916)427-7276x861,lisa00@example.net,John Bridges,pdavidson@example.com,Sunday,25.0646083
2023-01-01 01:00:00,Red Velvet Cake,1,7.083069896,South,Cash,FALSE,Rainy,23.54949697,Average,Positive,33,In Store,Anthony Wiggins,"24682 Holly Stravenue
Mooreville, NH 13901",769.318.4373,michellefernandez@example.com,Sarah Bentley,ajohnson@example.net,Sunday,7.083069896
2023-01-01 02:00:00,Chocolate Cake,5,6.7360641,North,Cash,TRUE,Rainy,,Excellent,,43,Phone Order,Ashley Duke,"10184 Washington Trace Apt. 679
East Brandistad, OR 87389",702.520.3286,cooperwilliam@example.com,Connie Cervantes,michele29@example.net,Sunday,33.6803205
2023-01-01 03:00:00,Carrot Cake,2,7.314823479,North,Cash,FALSE,Cloudy,20.13748325,Poor,Positive,32,Online Order,Brandon Taylor,"87194 Jeff Rue
Mitchellbury, CA 50463",622-527-9530,fsilva@example.net,Jessica Stewart,xwilson@example.org,Sunday,14.62964696
2023-01-01 04:00:00,Pizza Pepperoni,1,7.57772722,East,Credit Card,TRUE,Cloudy,23.02098654,Good,Neutral,58,In Store,Brittany Watkins,"850 Julia Groves
Hartview, WI 95954",759-517-8359,petersjoseph@example.net,Cheryl Carpenter,christine96@example.org,Sunday,7.57772722
2023-01-01 05:00:00,Red Velvet Cake,2,14.56815639,West,Cash,TRUE,Rainy,,Poor,Neutral,30,Phone Order,Curtis Cummings,"25468 Eric Causeway Suite 343
East Steven, SC 48548",(647)294-0826,stephanie69@example.net,Jessica Coleman,sandra03@example.org,Sunday,29.13631278
2023-01-01 06:00:00,Red Velvet Cake,3,16.11471875,North,Credit Card,FALSE,Cloudy,29.2010277,Excellent,,15,In Store,Haley Wilcox,"PSC 3319, Box 1711
APO AE 54478",001-345-422-5023,sharon86@example.net,Kelly Johnston,edwardsaaron@example.org,Sunday,48.34415626
2023-01-01 07:00:00,Carrot Cake,5,12.94987284,West,Online,FALSE,Sunny,,Average,Positive,16,Online Order,Tara Martinez,"49488 Rachel Port
Anthonybury, FL 31446",267.413.3199x19807,,Rebecca George,michaelperez@example.org,Sunday,64.74936422
2023-01-01 08:00:00,Carrot Cake,4,17.43526599,East,Cash,TRUE,Rainy,,Poor,Neutral,29,Phone Order,Sarah Carter,"74613 Hensley Crossroad Suite 746
Port Kelly, NH 40035",(742)946-6553x159,anthony69@example.org,Sara Aguilar,nicholasmullins@example.org,Sunday,69.74106395
2023-01-01 09:00:00,Pizza Margherita,2,19.8689484,West,Credit Card,FALSE,Rainy,20.42287011,Average,Neutral,53,In Store,Abigail Simon,"57371 Wilson Alley
Patriciaburgh, PA 36781",213.290.9906x79391,lawrence51@example.com,Michelle Pace,freemanjose@example.com,Sunday,39.7378968
2023-01-01 10:00:00,Chocolate Cake,3,17.30018944,South,Online,FALSE,Cloudy,,Good,Neutral,42,In Store,Collin Ward,"52686 Becky Islands
Abigailfurt, NE 86929",391-479-3624,,Nicole Kane DDS,jlopez@example.net,Sunday,51.90056831
2023-01-01 11:00:00,Carrot Cake,4,15.42323561,West,Online,FALSE,Rainy,33.22228729,Poor,Positive,15,In Store,Laura Hughes,"054 Alyssa Mill
Lake Alexis, MT 13214",+1-981-260-7807,nicolaslopez@example.org,Edgar White,laura24@example.org,Sunday,61.69294242
2023-01-01 12:00:00,Pizza Beef Double decker,4,12.98739049,East,Online,TRUE,Sunny,26.23870481,Poor,Positive,19,Online Order,Amber Warren,"77320 Kelly Turnpike
Wilsonside, MA 57592",932.415.9074x319,brittney37@example.net,Jacob Schroeder,bescobar@example.com,Sunday,51.94956197
2023-01-01 13:00:00,Cheesecake,2,11.73279608,East,Credit Card,FALSE,Cloudy,30.80500054,Good,Negative,56,Phone Order,Amanda Ellis,"USNV Riley
FPO AA 14148",420-731-2185,steven36@example.net,Chad Patterson,byrderic@example.net,Sunday,23.46559215
2023-01-01 14:00:00,Pizza Pepperoni,1,6.265885708,East,Cash,FALSE,Cloudy,33.77427553,Good,Positive,36,Phone Order,Samantha Reynolds,"PSC 9615, Box 1463
APO AP 20309",001-966-301-3601x51483,lindasosa@example.com,Donna Weiss,zreynolds@example.com,Sunday,6.265885708
2023-01-01 15:00:00,Chocolate Cake,2,10.99053123,West,Cash,TRUE,Rainy,26.12060692,Good,Neutral,50,Phone Order,Nicole Torres,"496 Calderon Parkway Apt. 220
Port Joshua, HI 80224",547-514-7610x84867,davisjoy@example.net,Amy Lopez,matthewpotter@example.net,Sunday,21.98106245
2023-01-01 16:00:00,Pizza Beef Double decker,3,18.65201955,South,Credit Card,FALSE,Rainy,22.86916057,Excellent,Negative,27,In Store,Casey Sawyer,"4059 Martha Spring
Markton, NC 56321",5614632938,raymondrobert@example.net,Ryan Carter,cartertyler@example.org,Sunday,55.95605866
2023-01-01 17:00:00,Vanilla Cake,4,17.12033945,North,Cash,FALSE,Rainy,27.75676896,Excellent,Positive,15,Phone Order,Candice Lynn,"4472 Stein Drive
Hansenville, ID 74427",+1-554-749-5430x97120,pattersonjerry@example.net,Kenneth Gonzalez,jon97@example.net,Sunday,68.48135779
2023-01-01 18:00:00,Carrot Cake,2,8.240770475,South,Credit Card,TRUE,Cloudy,33.62125531,Poor,Positive,30,In Store,Joshua Hernandez,"029 Teresa Shores Suite 231
Adamton, ID 46705",(502)880-2602,martinchristopher@example.com,John James,fernandezheather@example.net,Sunday,16.48154095
2023-01-01 19:00:00,Carrot Cake,1,11.99911677,West,Cash,TRUE,Rainy,32.06561621,Poor,Positive,55,Online Order,Randall Duncan,"33737 Lloyd Corner
South Bobbyton, VT 96254",(306)878-3107x464,willie19@example.com,Brent Parker,,Sunday,11.99911677
2023-01-01 20:00:00,Red Velvet Cake,2,17.25084804,West,Online,FALSE,Sunny,20.98744765,Poor,Positive,36,Phone Order,David Browning,"01334 Curry Roads Apt. 102
Denisefort, FM 93551",(989)808-0932x57119,wilsonwilliam@example.net,Jacob Medina,rebeccabrown@example.com,Sunday,34.50169608
